,State,SC,ST,OBC,Specially Abled,Women
0,Andaman & Nicobar,0,0,0,0,0
1,Andhra Pradesh,15,1,35,0,32
2,Arunachal Pradesh,0,9,1,0,1
3,Assam,0,0,0,0,34
4,Bihar,39,1,51,1,34
5,Chandigarh,0,0,0,0,4
6,Chhattisgarh,25,28,36,0,46
7,D & N Haveli,0,0,0,0,0
8,Daman & Diu,0,0,1,0,0
9,Delhi,9,1,0,1,78
10,Goa,0,0,1,0,5
11,Gujarat,11,0,42,0,51
12,Haryana,22,0,16,0,52
13,Himachal Pradesh,5,2,2,0,5
14,Jammu & Kashmir,8,7,1,0,10
15,Jharkhand,0,0,0,0,10
16,Karnataka,49,9,72,0,77
17,Kerala,7,0,99,0,44
18,Ladakh,0,0,0,0,0
19,Lakshadweep,0,0,1,0,0
20,Madhya Pradesh,62,59,87,1,101
21,Maharashtra,44,2,106,0,112
22,Manipur,1,4,0,0,4
23,Meghalaya,0,12,0,0,3
24,Mizoram,0,14,0,0,6
25,Nagaland,0,11,0,0,0
26,Odisha,0,0,0,0,35
27,Puducherry,0,0,2,0,3
28,Punjab,29,0,18,1,62
29,Rajasthan,36,13,84,2,104
30,Sikkim,0,4,6,0,3
31,Tamil Nadu,46,1,232,0,0
32,Telangana,15,8,58,1,56
33,Tripura,3,6,0,0,3
34,Uttar Pradesh,178,7,331,1,188
35,Uttarakhand,13,9,11,0,21
36,West Bengal,0,0,0,0,40
