,State,SC,ST,OBC,Specially Abled,Women
0,Andaman & Nicobar,0,0,0,4,4
1,Andhra Pradesh,45,18,118,106,287
2,Arunachal Pradesh,0,12,0,0,12
3,Assam,15,22,0,141,178
4,Bihar,115,9,254,253,631
5,Chandigarh,3,0,2,13,18
6,Chhattisgarh,28,64,34,42,168
7,D & N Haveli,0,0,1,0,1
8,Daman & Diu,0,0,0,1,1
9,Delhi,55,6,0,247,308
10,Goa,0,2,0,17,19
11,Gujarat,54,1,31,364,450
12,Haryana,38,0,35,83,156
13,Himachal Pradesh,9,3,6,48,66
14,Jammu & Kashmir,9,6,2,65,82
15,Jharkhand,20,55,19,85,179
16,Karnataka,76,15,134,230,455
17,Kerala,18,1,90,91,200
18,Ladakh,0,4,0,0,4
19,Lakshadweep,0,0,0,1,1
20,Madhya Pradesh,104,90,109,245,548
21,Maharashtra,140,2,266,512,920
22,Manipur,1,4,3,1,9
23,Meghalaya,0,19,0,0,19
24,Mizoram,0,16,0,0,16
25,Nagaland,0,0,0,7,7
26,Odisha,17,0,53,246,316
27,Puducherry,0,0,4,1,5
28,Punjab,79,0,45,158,282
29,Rajasthan,65,58,103,195,421
30,Sikkim,0,2,5,0,7
31,Tamil Nadu,120,5,364,6,495
32,Telangana,39,22,99,64,224
33,Tripura,5,7,0,24,36
34,Uttar Pradesh,193,15,272,331,811
35,Uttarakhand,20,4,17,54,95
36,West Bengal,0,0,0,398,398
