Supreme Court/High Court,Sanctioned Strength,Working Strength,Vacancy
Supreme,34,34,0
Allahabad High Court,160,84,76
Andhra Pradesh High Court,37,28,9
Bombay High Court,94,66,28
Calcutta High Court,72,44,28
Chhattisgarh High Court,22,15,7
Delhi High Court,60,39,21
Gauhati High Court,30,24,6
Gujarat High Court,52,29,23
Himachal Pradesh High Court,17,12,5
J & K and Ladakh High Court,17,15,2
Jharkhand High Court,25,18,7
Karnataka High Court,62,50,12
Kerala High Court,47,39,8
Madhya Pradesh High Court,53,36,17
Madras High Court,75,63,12
Manipur High Court,5,4,1
Meghalaya High Court,4,4,0
Orissa High Court,33,20,13
Patna High Court,53,34,19
Punjab & Haryana High Court,85,55,30
Rajasthan High Court,50,33,17
Sikkim High Court,3,3,0
Telangana High Court,42,27,15
Tripura High Court,5,5,0
Uttarakhand High Court,11,7,4
Total High Court,1114,754,360
