,State,Civil Judge(Junior Division),Civil Judge(Senior Division),District Judge/DJ,Total
0,Andaman and Nicobar,0,0,0,0
1,Andhra Pradesh,325,135,158,618
2,Arunachal Pradesh,14,19,11,44
3,Assam,205,149,131,485
4,Bihar,885,420,714,2019
5,Chandigarh,18,2,10,30
6,Chhattisgarh,226,131,255,612
7,D & N Haveli,1,1,1,3
8,Daman & Diu,1,2,1,4
9,Delhi,361,121,405,887
10,Goa,25,14,11,50
11,Gujarat,641,554,520,1720
12,Haryana,393,133,246,772
13,Himachal Pradesh,75,48,56,1719
14,Jammu & Kashmir,143,88,86,317
15,Jharkhand,309,156,238,703
16,Karnataka,554,437,384,1375
17,Kerala,269,97,241,607
18,Ladakh,8,6,3,17
19,Lakshadweep,1,2,1,4
20,Madhya Pradesh,768,514,746,2028
21,Maharashtra,1118,518,554,2190
22,Manipur,22,18,19,59
23,Meghalaya,26,25,48,99
24,Mizoram,41,17,16,74
25,Nagaland,12,8,14,34
26,Odisha,488,284,243,1015
27,Puducherry,12,8,9,29
28,Punjab,426,137,234,797
29,Rajasthan,564,421,656,1641
30,Sikkim,13,7,15,35
31,Tamil Nadu,641,362,358,1361
32,Telangana,245,142,173,560
33,Tripura,53,40,40,133
34,Uttar Pradesh,1203,805,1690,3698
35,Uttarakhand,108,88,102,298
36,West Bengal,406,327,281,1014
