text
"Appointment Division deals with the appointment, transfer and removal of Chief Justice and Judges of the Supreme Court and High Courts. Setting up of new High Courts, Benches of Supreme Court and High Courts and increase in Judge strength of the Supreme Court and the High Courts of India are other functions."
"National Mission for Judicial Reforms (NMJR) Division is dealing mainly with (i) pendency reduction (ii) Ease of doing business (enforcing contracts parameter), (iii) Centrally sponsored scheme for development of infrastructure facilities for District and subordinate courts and (iv) the scheme of Gram Nyayalaya. Besides, the Division is also working on the issues relating to Rule of Law Index and Action Research for Judicial Reforms."
"Access to Justice Division implements a Central Sector Scheme to further the cause of access to justice named Designing Innovative Solutions for Holistic Access to Justice in India (DISHA)â€.The component schemes under DISHA include:- Â Tele-law: Reaching the unreached, Nyaya Bandhu (Pro-bono Legal Services), Nyaya Mitra and Legal Literacy & Legal Awareness Programme.
 This Division also deals with matters related to National Legal Services Authority (NALSA) including
 release of grant-in-aid to NALSA;
 laying ofÂ Annual Accounts of National Legal Aid Fund, Audit Report of the C&AG and Annual Report of NALSA and Legal Services Authorities of UT; and
 representations/grievances received from public for legal aid."
eCourts is a Mission Mode Project which uses technology to make the judicial processes across district and subordinate courts in India more efficient and speedy delivery of justice.
"Justice-I Section deals with pay allowance and pension of Judges of Supreme Court and High Courts, Judicial Pay Commission, Pecuniary Jurisdiction of Delhi District Courts. Use of Hindi and regional languages in courts and redressal of public grievances."
"Justice-II deals with setting up of Fast Track Special Courts for expeditious trial and disposal of cases related to rape and POCSO Act, compiling case statistics of Fast Track Courts and Family Courts. The Division prepares the proposal of the Department for consideration of Finance Commission, updating of Citizen Charter of Department of Justice, RTI applications, matters pertaining to National Judicial Academy, matters concerning Parliament Questions and other miscellaneous issues assigned to this division."
"The Administration Division is entrusted with the responsibility of personnel/General administration of the Department of Justice including budget, finance, audit, RTI, eOffice, training, Hindi/Rajbhasha matters, and Swachhta Action Plan in respect of Department of Justice. The Coordination branch of the Division ensures time bound action on Parliamentary Matters, convenes various consultative Meetings."
"Setting up of Fast Track Courts (FTCs) and its functioning lies within the domain of State Governments in consultation with the respective High Courts. The 14th Finance Commission had recommended the setting up of 1800 FTCs during 2015-20 dealing with cases of heinous crimes; civil cases related to women, children, senior citizens, HIV/AIDS etc. and property related cases pending for more than 5 years. The Commission also urged State Governments to utilize enhanced fiscal space available through tax devolution (32% to 42%) for this purpose. 866 FTCs are functional across the country (May, 2024).For more information visit: https://dashboard.doj.gov.in/fast-track-court/"
"Setting up of Fast Track Courts (FTCs) and its functioning lies within the domain of State Governments in consultation with the respective High Courts. The 14th Finance Commission had recommended the setting up of 1800 FTCs during 2015-20 dealing with cases of heinous crimes; civil cases related to women, children, senior citizens, HIV/AIDS etc. and property related cases pending for more than 5 years. The Commission also urged State Governments to utilize enhanced fiscal space available through tax devolution (32% to 42%) for this purpose. 866 FTCs are functional across the country (May, 2024).
 For more information visit: https://dashboard.doj.gov.in/fast-track-court/"
"Instruction for knowing status of case:1 Click here to view help video (https://services.ecourts.gov.in/ecourtindia_v6//ecourtindia_v6/?p=view_help_videos/show_help_videos&caseSearchType=CNRHelp&app_token=86fd6d3ba6595010a3fec17bcd80da73a00ca3aa1b5305a85d5c6d8251748aa6) 2 Enter the 16 digit alphanumeric CNR Number without any hyphen or space 3 Click Search button to view current status and history of the case 4 If you don't know the CNR number of the case, click on the Case Status icon on the left menu to search the case with other options like case registration number, party name, advocate name etc."
Number of district judges working in district subordinate court in Andaman & Nicobar of SC category is 0
Number of district judges working in district subordinate court in Andaman & Nicobar of ST category is 0
Number of district judges working in district subordinate court in Andaman & Nicobar of OBC category is 0
Number of district judges working in district subordinate court in Andaman & Nicobar of Specially Abled category is 0
Number of district judges working in district subordinate court in Andaman & Nicobar of Women category is 0

Number of district judges working in district subordinate court in Andhra Pradesh of SC category is 15
Number of district judges working in district subordinate court in Andhra Pradesh of ST category is 1
Number of district judges working in district subordinate court in Andhra Pradesh of OBC category is 35
Number of district judges working in district subordinate court in Andhra Pradesh of Specially Abled category is 0
Number of district judges working in district subordinate court in Andhra Pradesh of Women category is 32

Number of district judges working in district subordinate court in Arunachal Pradesh of SC category is 0
Number of district judges working in district subordinate court in Arunachal Pradesh of ST category is 9
Number of district judges working in district subordinate court in Arunachal Pradesh of OBC category is 1
Number of district judges working in district subordinate court in Arunachal Pradesh of Specially Abled category is 0
Number of district judges working in district subordinate court in Arunachal Pradesh of Women category is 1

Number of district judges working in district subordinate court in Assam of SC category is 0
Number of district judges working in district subordinate court in Assam of ST category is 0
Number of district judges working in district subordinate court in Assam of OBC category is 0
Number of district judges working in district subordinate court in Assam of Specially Abled category is 0
Number of district judges working in district subordinate court in Assam of Women category is 34

Number of district judges working in district subordinate court in Bihar of SC category is 39
Number of district judges working in district subordinate court in Bihar of ST category is 1
Number of district judges working in district subordinate court in Bihar of OBC category is 51
Number of district judges working in district subordinate court in Bihar of Specially Abled category is 1
Number of district judges working in district subordinate court in Bihar of Women category is 34

Number of district judges working in district subordinate court in Chandigarh of SC category is 0
Number of district judges working in district subordinate court in Chandigarh of ST category is 0
Number of district judges working in district subordinate court in Chandigarh of OBC category is 0
Number of district judges working in district subordinate court in Chandigarh of Specially Abled category is 0
Number of district judges working in district subordinate court in Chandigarh of Women category is 4

Number of district judges working in district subordinate court in Chhattisgarh of SC category is 25
Number of district judges working in district subordinate court in Chhattisgarh of ST category is 28
Number of district judges working in district subordinate court in Chhattisgarh of OBC category is 36
Number of district judges working in district subordinate court in Chhattisgarh of Specially Abled category is 0
Number of district judges working in district subordinate court in Chhattisgarh of Women category is 46

Number of district judges working in district subordinate court in D & N Haveli of SC category is 0
Number of district judges working in district subordinate court in D & N Haveli of ST category is 0
Number of district judges working in district subordinate court in D & N Haveli of OBC category is 0
Number of district judges working in district subordinate court in D & N Haveli of Specially Abled category is 0
Number of district judges working in district subordinate court in D & N Haveli of Women category is 0

Number of district judges working in district subordinate court in Daman & Diu of SC category is 0
Number of district judges working in district subordinate court in Daman & Diu of ST category is 0
Number of district judges working in district subordinate court in Daman & Diu of OBC category is 1
Number of district judges working in district subordinate court in Daman & Diu of Specially Abled category is 0
Number of district judges working in district subordinate court in Daman & Diu of Women category is 0

Number of district judges working in district subordinate court in Delhi of SC category is 9
Number of district judges working in district subordinate court in Delhi of ST category is 1
Number of district judges working in district subordinate court in Delhi of OBC category is 0
Number of district judges working in district subordinate court in Delhi of Specially Abled category is 1
Number of district judges working in district subordinate court in Delhi of Women category is 78

Number of district judges working in district subordinate court in Goa of SC category is 0
Number of district judges working in district subordinate court in Goa of ST category is 0
Number of district judges working in district subordinate court in Goa of OBC category is 1
Number of district judges working in district subordinate court in Goa of Specially Abled category is 0
Number of district judges working in district subordinate court in Goa of Women category is 5

Number of district judges working in district subordinate court in Gujarat of SC category is 11
Number of district judges working in district subordinate court in Gujarat of ST category is 0
Number of district judges working in district subordinate court in Gujarat of OBC category is 42
Number of district judges working in district subordinate court in Gujarat of Specially Abled category is 0
Number of district judges working in district subordinate court in Gujarat of Women category is 51

Number of district judges working in district subordinate court in Haryana of SC category is 22
Number of district judges working in district subordinate court in Haryana of ST category is 0
Number of district judges working in district subordinate court in Haryana of OBC category is 16
Number of district judges working in district subordinate court in Haryana of Specially Abled category is 0
Number of district judges working in district subordinate court in Haryana of Women category is 52

Number of district judges working in district subordinate court in Himachal Pradesh of SC category is 5
Number of district judges working in district subordinate court in Himachal Pradesh of ST category is 2
Number of district judges working in district subordinate court in Himachal Pradesh of OBC category is 2
Number of district judges working in district subordinate court in Himachal Pradesh of Specially Abled category is 0
Number of district judges working in district subordinate court in Himachal Pradesh of Women category is 5

Number of district judges working in district subordinate court in Jammu & Kashmir of SC category is 8
Number of district judges working in district subordinate court in Jammu & Kashmir of ST category is 7
Number of district judges working in district subordinate court in Jammu & Kashmir of OBC category is 1
Number of district judges working in district subordinate court in Jammu & Kashmir of Specially Abled category is 0
Number of district judges working in district subordinate court in Jammu & Kashmir of Women category is 10

Number of district judges working in district subordinate court in Jharkhand of SC category is 0
Number of district judges working in district subordinate court in Jharkhand of ST category is 0
Number of district judges working in district subordinate court in Jharkhand of OBC category is 0
Number of district judges working in district subordinate court in Jharkhand of Specially Abled category is 0
Number of district judges working in district subordinate court in Jharkhand of Women category is 10

Number of district judges working in district subordinate court in Karnataka of SC category is 49
Number of district judges working in district subordinate court in Karnataka of ST category is 9
Number of district judges working in district subordinate court in Karnataka of OBC category is 72
Number of district judges working in district subordinate court in Karnataka of Specially Abled category is 0
Number of district judges working in district subordinate court in Karnataka of Women category is 77

Number of district judges working in district subordinate court in Kerala of SC category is 7
Number of district judges working in district subordinate court in Kerala of ST category is 0
Number of district judges working in district subordinate court in Kerala of OBC category is 99
Number of district judges working in district subordinate court in Kerala of Specially Abled category is 0
Number of district judges working in district subordinate court in Kerala of Women category is 44

Number of district judges working in district subordinate court in Ladakh of SC category is 0
Number of district judges working in district subordinate court in Ladakh of ST category is 0
Number of district judges working in district subordinate court in Ladakh of OBC category is 0
Number of district judges working in district subordinate court in Ladakh of Specially Abled category is 0
Number of district judges working in district subordinate court in Ladakh of Women category is 0

Number of district judges working in district subordinate court in Lakshadweep of SC category is 0
Number of district judges working in district subordinate court in Lakshadweep of ST category is 0
Number of district judges working in district subordinate court in Lakshadweep of OBC category is 1
Number of district judges working in district subordinate court in Lakshadweep of Specially Abled category is 0
Number of district judges working in district subordinate court in Lakshadweep of Women category is 0

Number of district judges working in district subordinate court in Madhya Pradesh of SC category is 62
Number of district judges working in district subordinate court in Madhya Pradesh of ST category is 59
Number of district judges working in district subordinate court in Madhya Pradesh of OBC category is 87
Number of district judges working in district subordinate court in Madhya Pradesh of Specially Abled category is 1
Number of district judges working in district subordinate court in Madhya Pradesh of Women category is 101

Number of district judges working in district subordinate court in Maharashtra of SC category is 44
Number of district judges working in district subordinate court in Maharashtra of ST category is 2
Number of district judges working in district subordinate court in Maharashtra of OBC category is 106
Number of district judges working in district subordinate court in Maharashtra of Specially Abled category is 0
Number of district judges working in district subordinate court in Maharashtra of Women category is 112

Number of district judges working in district subordinate court in Manipur of SC category is 1
Number of district judges working in district subordinate court in Manipur of ST category is 4
Number of district judges working in district subordinate court in Manipur of OBC category is 0
Number of district judges working in district subordinate court in Manipur of Specially Abled category is 0
Number of district judges working in district subordinate court in Manipur of Women category is 4

Number of district judges working in district subordinate court in Meghalaya of SC category is 0
Number of district judges working in district subordinate court in Meghalaya of ST category is 12
Number of district judges working in district subordinate court in Meghalaya of OBC category is 0
Number of district judges working in district subordinate court in Meghalaya of Specially Abled category is 0
Number of district judges working in district subordinate court in Meghalaya of Women category is 3

Number of district judges working in district subordinate court in Mizoram of SC category is 0
Number of district judges working in district subordinate court in Mizoram of ST category is 14
Number of district judges working in district subordinate court in Mizoram of OBC category is 0
Number of district judges working in district subordinate court in Mizoram of Specially Abled category is 0
Number of district judges working in district subordinate court in Mizoram of Women category is 6

Number of district judges working in district subordinate court in Nagaland of SC category is 0
Number of district judges working in district subordinate court in Nagaland of ST category is 11
Number of district judges working in district subordinate court in Nagaland of OBC category is 0
Number of district judges working in district subordinate court in Nagaland of Specially Abled category is 0
Number of district judges working in district subordinate court in Nagaland of Women category is 0

Number of district judges working in district subordinate court in Odisha of SC category is 0
Number of district judges working in district subordinate court in Odisha of ST category is 0
Number of district judges working in district subordinate court in Odisha of OBC category is 0
Number of district judges working in district subordinate court in Odisha of Specially Abled category is 0
Number of district judges working in district subordinate court in Odisha of Women category is 35

Number of district judges working in district subordinate court in Puducherry of SC category is 0
Number of district judges working in district subordinate court in Puducherry of ST category is 0
Number of district judges working in district subordinate court in Puducherry of OBC category is 2
Number of district judges working in district subordinate court in Puducherry of Specially Abled category is 0
Number of district judges working in district subordinate court in Puducherry of Women category is 3

Number of district judges working in district subordinate court in Punjab of SC category is 29
Number of district judges working in district subordinate court in Punjab of ST category is 0
Number of district judges working in district subordinate court in Punjab of OBC category is 18
Number of district judges working in district subordinate court in Punjab of Specially Abled category is 1
Number of district judges working in district subordinate court in Punjab of Women category is 62

